id,nome,cpf,data_nascimento
5985,Bruno Rocha,131.187.087-35,1996-08-04
5986,Daniela Gomes,749.167.165-90,1988-11-24
5987,Lucas Santos,986.678.851-26,1988-03-03
5988,Samuel Costa,038.528.579-53,1976-10-25
5989,Camila Souza,541.506.898-81,1980-06-30
5990,Eduarda Oliveira,881.167.873-06,1974-05-22
5991,Nicolas Santos,851.496.675-87,1991-02-03
5992,Fernanda Ferreira,954.023.134-58,1966-07-16
5993,Eduardo Cardoso,396.995.713-30,2004-11-18
5994,Carlos Araujo,001.684.512-98,1965-02-07
5995,Taina Santos,238.789.303-48,1998-03-14
5996,Gabriela Lima,760.409.626-31,1962-12-09
5997,Tiago Costa,259.537.621-78,1950-07-01
5998,Tiago Cardoso,532.727.206-00,1985-08-10
5999,Joao Ribeiro,490.597.303-13,1990-12-25
6000,Andre Almeida,745.088.306-68,2000-04-21
6001,Helena Rocha,481.704.967-72,1963-05-14
6002,Thiago Lima,279.191.637-73,2005-03-31
6003,Paulo Silva,047.202.888-04,1965-02-20
6004,Natalia Rocha,797.087.701-08,1978-05-08
6005,Julia Lima,244.310.299-82,1969-06-24
6006,Isabela Oliveira,036.740.092-85,1980-07-25
6007,Sofia Pereira,709.831.818-37,1955-06-11
6008,Rafaela Carvalho,307.148.830-00,1979-08-27
6009,Valter Ribeiro,082.759.868-85,1983-01-31
6010,Samuel Oliveira,974.884.674-18,1999-01-20
6011,Isabela Costa,328.642.504-46,1986-07-26
6012,Taina Araujo,174.265.884-91,1954-10-18
6013,Gabriel Martins,124.501.160-01,1959-01-07
6014,Julia Carvalho,181.160.762-48,1959-01-30
6015,Antonio Rocha,692.621.684-38,1992-01-28
6016,Larissa Silva,206.314.109-61,1961-09-25
6017,Taina Carvalho,329.540.568-94,1985-01-15
6018,Valentina Pereira,961.724.727-55,1968-09-20
6019,Daniela Mendes,897.060.446-47,1962-10-01
6020,Antonio Rodrigues,744.571.991-17,1989-02-23
6021,Lucas Rodrigues,421.421.140-59,1991-08-03
6022,Samuel Souza,366.492.907-18,1955-02-21
6023,Mariana Mendes,394.271.342-08,1976-09-14
6024,Marcos Santos,649.222.571-60,1987-10-14
6025,Valentina Santos,048.952.414-16,1969-12-04
6026,Taina Ribeiro,646.639.718-14,1953-10-09
6027,Eduarda Pereira,063.357.599-26,1992-10-25
6028,William Carvalho,975.675.646-29,1987-11-13
6029,Marcos Ferreira,674.913.481-57,1985-04-04
6030,Thiago Carvalho,032.422.164-90,1981-09-06
6031,Mariana Pereira,442.146.100-83,1975-06-26
6032,Tiago Mendes,359.005.819-69,2000-04-16
6033,Mariana Martins,514.690.591-69,1998-03-04
6034,Patricia Nascimento,653.979.005-83,1991-03-01
6035,Rafael Rodrigues,410.807.509-91,1979-10-11
6036,Camila Rodrigues,545.136.402-86,2004-07-06
6037,Valter Costa,208.595.031-00,1963-01-01
6038,Fernanda Ribeiro,595.995.924-09,1956-04-16
6039,Vinicius Araujo,166.553.601-29,1998-12-22
6040,Eduarda Oliveira,703.280.325-30,1968-01-16
6041,Rafael Rodrigues,614.491.792-66,1956-05-02
6042,Gabriel Gomes,148.111.468-91,1994-09-26
6043,Larissa Ferreira,117.370.215-60,1968-09-30
6044,Rafael Carvalho,503.559.967-15,1970-01-24
6045,Eduarda Rodrigues,121.312.434-48,1984-03-13
6046,Eduardo Ferreira,291.362.153-84,2003-02-26
6047,Taina Carvalho,060.146.120-76,1980-10-16
6048,Samuel Carvalho,984.475.393-77,1988-03-10
6049,Camila Silva,748.133.533-80,1971-12-10
6050,Henrique Dias,417.518.007-92,1981-05-21
6051,Eduardo Ribeiro,825.548.386-15,2000-02-11
6052,Eduardo Souza,235.879.050-88,1992-12-31
6053,Natalia Santos,907.294.856-41,1972-04-12
6054,Eduardo Martins,673.139.628-19,1985-07-29
6055,Rafaela Rodrigues,897.547.011-30,1966-04-17
6056,Eduarda Lima,359.393.942-80,1989-12-01
6057,Julia Mendes,288.156.596-41,1951-03-27
6058,Valentina Santos,287.447.706-00,1975-03-05
6059,Rafael Souza,335.782.992-43,1974-01-21
6060,Valentina Pereira,350.688.439-54,1972-03-25
6061,Thiago Almeida,960.626.382-76,1970-08-24
6062,William Oliveira,929.478.745-10,1973-01-02
6063,Daniel Martins,031.868.659-72,1966-06-01
6064,Lucas Dias,948.129.645-80,1975-07-15
6065,Paulo Pereira,771.959.119-42,2002-09-11
6066,Sofia Oliveira,364.477.291-66,1960-09-16
6067,Rafael Mendes,440.147.082-68,1967-11-11
6068,Eduarda Rocha,617.258.828-17,1973-03-09
6069,Sofia Costa,718.045.591-13,1965-10-08
6070,Rafael Dias,951.217.447-22,1983-07-29
6071,Henrique Almeida,651.837.047-59,1953-10-15
6072,Julia Rodrigues,712.506.821-93,1962-04-27
6073,Ana Almeida,581.397.951-43,2005-11-04
6074,Henrique Costa,452.405.589-49,1991-10-19
6075,Larissa Almeida,591.998.855-06,1964-01-18
6076,Julia Dias,297.702.598-70,1975-06-07
6077,Carlos Cardoso,554.220.548-81,1990-07-26
6078,Larissa Rocha,129.896.733-34,1982-11-04
6079,Rafaela Araujo,063.230.017-56,1957-09-03
6080,Vinicius Ribeiro,576.329.516-10,1987-02-21
6081,Helena Souza,567.486.374-14,1994-01-31
6082,Camila Almeida,036.638.602-64,1984-08-17
6083,Nicolas Araujo,175.840.531-73,1997-09-04
6084,Samuel Martins,585.228.876-40,1961-01-18
6085,Igor Costa,746.003.410-07,1983-07-11
6086,Samuel Cardoso,287.035.171-28,2002-10-31
6087,Thiago Carvalho,974.500.970-95,1988-04-30
6088,Taina Carvalho,071.253.461-03,1958-09-13
6089,Andre Gomes,524.027.820-21,1960-03-09
6090,Daniel Cardoso,113.083.953-29,1959-12-25
6091,Daniela Martins,951.522.345-80,1954-11-30
6092,Samuel Rocha,607.137.667-00,1951-02-01
6093,Samuel Santos,606.050.640-24,1981-10-31
6094,Fernanda Souza,832.840.144-46,1953-08-26
6095,Joao Dias,043.893.531-44,1990-10-11
6096,Mariana Pereira,461.552.241-02,1955-12-27
6097,Rafaela Carvalho,148.126.892-95,1984-07-05
6098,Daniel Cardoso,352.738.396-45,1994-11-29
6099,Rafael Gomes,606.945.684-06,1989-05-23
6100,Camila Dias,319.579.965-01,2000-09-15
6101,Fernanda Costa,394.494.930-73,1991-07-13
6102,Samuel Lima,578.449.023-02,1955-03-28
6103,Lucas Nascimento,146.502.860-93,1956-09-25
6104,Daniela Mendes,376.910.818-39,2003-11-15
6105,Rafael Oliveira,378.011.047-49,1950-04-18
6106,Nicolas Carvalho,444.532.567-87,1962-01-04
6107,Eduarda Souza,951.109.452-17,1986-01-25
6108,Carlos Mendes,216.551.462-20,1950-12-25
6109,Ana Silva,888.876.414-39,1971-07-13
6110,Joao Araujo,222.855.693-94,1957-01-05
6111,Taina Rocha,354.881.073-04,1962-11-03
6112,Joao Martins,199.037.773-45,1957-12-06
6113,Fernanda Silva,253.759.335-94,1998-10-15
6114,Andre Oliveira,514.940.074-28,1988-09-20
6115,Lucas Pereira,397.988.118-01,1995-04-18
6116,Isabela Oliveira,076.059.558-55,1991-07-21
6117,Beatriz Carvalho,253.776.967-86,1972-05-23
6118,Helena Ribeiro,496.607.028-76,1992-02-16
6119,Natalia Nascimento,238.057.121-03,1986-02-28
6120,Henrique Costa,966.827.342-71,1996-12-20
6121,Tiago Santos,426.854.460-79,1986-03-05
6122,Nicolas Mendes,958.993.219-38,1956-12-02
6123,Patricia Rodrigues,044.217.953-72,1976-11-18
6124,Rafael Ribeiro,645.044.624-27,1952-03-23
6125,Valter Lima,163.166.417-45,1954-12-07
6126,Camila Santos,337.904.742-23,1960-06-23
6127,Helena Santos,660.580.856-83,2003-03-31
6128,Ana Pereira,891.708.880-51,1989-05-19
6129,Isabela Carvalho,207.530.877-23,1963-02-02
6130,Isabela Ferreira,966.734.958-63,1989-02-22
6131,Camila Souza,500.858.549-56,1956-01-18
6132,Valentina Ferreira,516.792.127-96,1955-11-06
6133,Vinicius Gomes,261.718.670-98,2002-06-27
6134,Henrique Mendes,372.016.485-35,1973-04-17
6135,Joao Souza,332.581.963-03,1972-10-03
6136,Samuel Souza,300.436.256-22,2000-11-17
6137,Gabriela Gomes,393.058.187-65,1984-01-31
6138,Julia Lima,046.610.106-63,1955-11-03
6139,Tiago Ribeiro,816.189.329-26,1998-08-16
6140,Henrique Gomes,366.145.018-28,1956-06-08
6141,Samuel Nascimento,850.374.361-25,1965-11-11
6142,Bruno Souza,426.189.124-70,1955-09-08
6143,Andre Costa,121.933.873-70,1951-07-18
6144,Beatriz Ferreira,032.897.957-05,1970-05-20
6145,Joao Araujo,564.108.945-11,1962-05-16
6146,Beatriz Nascimento,259.403.764-87,2002-06-06
6147,Valter Souza,330.984.552-41,1962-02-15
6148,Daniel Gomes,494.228.514-32,1958-03-06
6149,Rafaela Ferreira,325.586.133-08,1967-01-10
6150,Natalia Silva,561.311.137-50,1962-07-14
6151,Natalia Martins,790.821.352-99,1963-08-16
6152,Daniela Oliveira,118.909.830-04,1995-07-09
6153,Lucas Rocha,933.309.138-60,2004-04-02
6154,Eduarda Dias,860.208.289-48,1986-07-08
6155,Nicolas Oliveira,814.335.862-31,1998-08-28
6156,Rafaela Ribeiro,880.588.779-05,1989-01-30
6157,Nicolas Santos,768.790.244-08,1987-07-26
6158,Sofia Carvalho,235.986.484-05,1952-07-14
6159,Thiago Costa,702.907.542-08,1963-09-21
6160,Sofia Cardoso,980.147.689-30,1999-05-09
6161,Natalia Ferreira,391.596.586-30,1987-05-17
6162,Paulo Oliveira,403.484.545-70,1971-09-07
6163,Gabriel Araujo,932.633.457-02,1955-03-23
6164,Nicolas Souza,175.966.144-93,1988-01-12
6165,Eduardo Ribeiro,849.089.571-69,1954-05-30
6166,Lucas Santos,611.402.235-18,2002-11-14
6167,Gabriel Silva,658.552.295-80,1952-01-21
6168,Vinicius Lima,436.048.848-37,1985-06-06
6169,Daniela Cardoso,174.575.768-60,1961-08-30
6170,Henrique Rodrigues,690.089.730-49,1969-10-21
6171,Henrique Ribeiro,907.746.743-26,1967-07-06
6172,Valter Silva,970.555.013-18,1968-07-14
6173,Mariana Lima,317.274.963-02,1958-09-01
6174,Nicolas Mendes,534.026.101-83,1979-10-04
6175,Paulo Gomes,263.231.078-48,1980-03-08
6176,Lucas Nascimento,884.620.542-14,1951-08-30
6177,Eduarda Souza,866.827.263-25,1977-03-22
6178,Beatriz Souza,881.497.741-06,1999-04-27
6179,Daniela Mendes,271.513.194-10,1997-03-01
6180,Julia Cardoso,827.634.394-54,1988-10-09
6181,Patricia Ribeiro,718.868.354-97,1992-05-23
6182,Patricia Araujo,457.147.274-95,1990-11-06
6183,Vinicius Rodrigues,198.071.233-64,1988-01-14
6184,Igor Mendes,121.554.237-21,1971-12-31
6185,Thiago Rocha,770.414.588-65,1987-02-11
6186,Eduarda Rodrigues,643.235.906-60,1971-09-28
6187,Helena Mendes,775.548.400-96,1975-05-14
6188,Isabela Souza,099.798.857-69,1986-07-20
6189,Ana Souza,966.679.399-76,1966-10-21
6190,Marcos Cardoso,360.798.909-50,1993-09-06
6191,Rafael Dias,207.983.381-21,1951-03-08
6192,Fernanda Rodrigues,624.083.195-60,1963-06-13
6193,Eduardo Carvalho,674.456.322-04,1979-07-06
6194,Antonio Ribeiro,467.884.880-02,1983-08-02
6195,Tiago Gomes,474.200.289-07,1963-05-22
6196,Patricia Lima,371.424.388-78,1955-05-25
6197,Gabriela Almeida,724.928.840-74,2001-04-18
6198,Felipe Dias,657.385.375-05,1959-10-16
6199,Larissa Pereira,072.159.805-61,1984-06-21
6200,Ana Costa,224.703.213-36,1967-02-11
6201,Joao Cardoso,006.840.964-80,1963-04-26
6202,Tiago Almeida,855.507.932-29,1950-08-30
6203,Beatriz Mendes,224.491.306-67,1959-01-24
6204,Ana Mendes,557.041.936-50,1972-11-05
6205,Ana Ferreira,415.118.222-52,1975-10-17
6206,Gabriela Almeida,295.010.232-81,1967-06-20
6207,Julia Oliveira,399.285.814-60,1966-09-29
6208,Marcos Almeida,502.214.916-86,1958-05-09
6209,Camila Souza,995.321.059-48,1993-01-04
6210,Nicolas Lima,281.435.194-06,1960-12-17
6211,William Rocha,798.176.301-02,2003-05-06
6212,Fernanda Oliveira,543.167.014-01,1959-11-04
6213,Ana Lima,882.064.562-95,1952-08-30
6214,Antonio Dias,832.736.529-00,1968-05-09
6215,William Araujo,252.056.567-51,2005-07-09
6216,Fernanda Martins,712.794.401-63,1970-06-25
6217,Antonio Ribeiro,972.533.249-00,1990-10-14
6218,Beatriz Araujo,306.868.878-75,1989-03-14
6219,Gabriela Rocha,202.285.404-70,1951-04-04
6220,Isabela Ferreira,166.845.015-17,1988-09-27
6221,Helena Costa,584.819.060-77,1976-01-21
6222,Bruno Dias,827.814.705-11,1988-12-25
6223,Valter Dias,717.291.269-10,1996-01-17
6224,Fernanda Gomes,334.533.843-26,1951-11-17
6225,William Pereira,697.883.310-09,1965-10-26
6226,Camila Mendes,520.564.598-92,1950-11-16
6227,Mariana Carvalho,405.856.595-08,1957-01-31
6228,Thiago Nascimento,439.504.449-20,1962-07-28
6229,Antonio Rocha,545.549.128-84,1968-11-28
6230,Daniela Oliveira,794.944.228-05,1971-03-24
6231,Isabela Dias,958.742.796-36,1969-09-12
6232,Ana Carvalho,955.094.786-67,1975-07-29
6233,Daniela Martins,388.281.059-92,1964-06-05
6234,Carlos Oliveira,211.894.623-62,1959-06-13
6235,Eduarda Martins,655.636.300-64,1976-07-02
6236,Mariana Rodrigues,590.156.407-34,1982-10-05
6237,Bruno Ferreira,941.467.359-80,1963-01-22
6238,Nicolas Rodrigues,962.577.416-53,1960-12-29
6239,Henrique Ribeiro,665.764.063-39,1971-11-09
6240,Eduardo Ribeiro,586.171.106-27,2001-03-03
6241,Gabriel Araujo,969.392.496-72,1963-11-05
6242,Patricia Lima,436.928.515-10,1987-04-14
6243,Larissa Mendes,379.477.417-51,1969-05-12
6244,Patricia Almeida,601.078.676-21,1954-01-18
6245,Daniel Rodrigues,450.358.165-16,1977-10-02
6246,William Cardoso,061.846.487-56,1983-10-08
6247,Ana Mendes,576.460.363-31,1965-02-27
6248,Valentina Pereira,866.227.192-84,1957-10-27
6249,Joao Almeida,665.667.390-25,1983-11-25
6250,Beatriz Nascimento,277.236.576-09,1956-09-29
6251,Sofia Araujo,665.716.402-52,1964-02-27
6252,Felipe Oliveira,234.945.724-96,1973-07-22
6253,Vinicius Souza,764.826.148-09,1956-07-23
6254,Antonio Rocha,957.818.338-03,1951-07-09
6255,Marcos Silva,331.566.705-53,1967-05-05
6256,Rafaela Santos,851.983.860-06,1985-08-24
6257,Tiago Ferreira,249.895.691-30,1955-09-13
6258,Beatriz Rodrigues,089.758.638-75,1952-07-15
6259,Sofia Santos,441.616.613-39,1950-04-28
6260,Felipe Rodrigues,548.539.610-03,1976-02-01
6261,Nicolas Silva,880.574.987-73,1982-04-26
6262,Paulo Carvalho,024.938.713-16,1998-04-23
6263,Vinicius Dias,279.354.445-01,1998-07-29
6264,William Silva,573.019.952-02,1985-07-05
6265,Daniela Carvalho,578.245.663-90,1988-12-26
6266,Natalia Santos,512.816.379-20,2002-07-08
6267,Henrique Almeida,173.338.568-10,1972-06-02
6268,Felipe Rocha,570.015.034-44,1968-04-29
6269,Gabriela Martins,292.356.213-56,1973-06-30
6270,Mariana Almeida,571.205.749-22,1961-07-21
6271,Daniela Almeida,860.682.897-10,1961-12-10
6272,Nicolas Araujo,024.564.531-40,1954-06-30
6273,Lucas Ferreira,907.009.608-05,2001-07-02
6274,Henrique Araujo,443.593.457-47,1956-05-15
6275,Gabriel Oliveira,563.360.610-86,1957-01-24
6276,Rafaela Costa,312.303.672-33,1988-05-01
6277,Nicolas Lima,730.816.903-07,1980-09-27
6278,Antonio Rodrigues,420.628.958-10,1950-10-17
6279,Taina Pereira,485.116.883-74,2002-06-17
6280,Julia Souza,143.678.587-15,1970-12-20
6281,Mariana Carvalho,667.668.293-11,1954-11-20
6282,Antonio Nascimento,370.387.746-46,1974-02-10
6283,Patricia Mendes,508.825.704-04,1973-10-31
6284,Bruno Ribeiro,428.358.874-15,1965-06-05
6285,Fernanda Santos,943.805.479-06,1973-09-07
6286,Nicolas Rocha,830.186.080-46,1992-01-20
6287,Daniel Almeida,939.856.760-11,1952-08-02
6288,Sofia Costa,709.839.654-04,1997-02-24
6289,Thiago Lima,338.053.634-27,1989-10-22
6290,Eduarda Ferreira,780.478.054-01,1972-06-18
6291,Carlos Pereira,925.824.914-38,1999-01-07
6292,Ana Cardoso,745.921.893-61,1958-10-09
6293,Beatriz Ribeiro,876.869.461-00,1999-04-29
6294,Taina Souza,657.141.787-18,1978-01-04
6295,Gabriela Silva,566.326.246-69,1969-07-27
6296,Beatriz Costa,578.653.578-93,1984-05-30
6297,Gabriel Ferreira,736.032.112-35,1974-11-16
6298,Andre Cardoso,615.479.984-58,1973-10-26
6299,Fernanda Cardoso,519.968.327-60,1987-08-03
6300,Isabela Cardoso,908.237.105-72,2003-02-17
6301,Gabriel Silva,233.980.473-60,1963-09-01
6302,Marcos Costa,243.758.116-25,1962-01-08
6303,Carlos Rocha,697.185.114-58,1989-08-19
6304,Igor Araujo,163.159.380-35,2003-04-14
6305,Felipe Pereira,786.118.919-88,1964-10-12
6306,Samuel Almeida,440.260.835-00,1999-10-24
6307,Rafael Rocha,743.540.858-10,1976-01-13
6308,Julia Silva,495.492.876-10,1991-12-15
6309,Bruno Martins,753.866.881-03,1977-12-24
6310,Bruno Rodrigues,924.133.733-81,1965-07-16
6311,Felipe Lima,081.944.489-80,1955-05-25
6312,Isabela Silva,842.735.991-80,2001-04-16
6313,Helena Souza,578.644.829-02,1988-11-12
6314,Eduarda Costa,052.870.019-75,1954-04-11
6315,Eduardo Costa,465.212.256-00,1963-10-12
6316,Sofia Lima,376.292.066-40,1981-06-06
6317,Sofia Ribeiro,667.037.070-90,1956-01-09
6318,Camila Rocha,557.538.825-52,1990-08-26
6319,Samuel Carvalho,371.171.856-60,2005-06-03
6320,Fernanda Souza,781.887.581-67,1982-03-31
6321,Samuel Rocha,186.239.378-80,1973-12-25
6322,Camila Mendes,719.571.562-01,1959-07-11
6323,Ana Santos,047.194.065-80,1988-11-15
6324,Paulo Gomes,900.370.861-46,1977-02-23
6325,Henrique Rodrigues,910.274.237-36,1995-06-04
6326,Mariana Araujo,623.147.012-16,1985-04-30
6327,Antonio Ribeiro,629.266.923-82,1984-10-13
6328,Helena Santos,134.214.876-26,1970-07-25
6329,Antonio Pereira,986.281.180-39,1968-02-19
6330,Gabriela Rocha,688.535.913-07,1981-04-28
6331,Nicolas Costa,637.478.882-67,1976-08-24
6332,Bruno Dias,198.781.339-15,1960-10-21
6333,Marcos Pereira,328.823.927-29,1978-09-04
6334,Valter Souza,387.055.440-17,1980-02-05
6335,Valter Nascimento,553.241.369-05,1953-08-22
6336,Lucas Santos,249.914.107-70,1958-10-18
6337,Lucas Cardoso,789.675.360-03,1950-01-18
6338,Taina Gomes,457.942.753-08,1991-10-24
6339,Natalia Araujo,326.953.724-77,1978-01-08
6340,Taina Rocha,712.269.514-06,1971-09-22
6341,Gabriel Dias,200.912.585-10,1971-02-24
6342,Valter Santos,297.089.538-22,2004-08-28
6343,Lucas Silva,640.137.489-67,1985-03-03
6344,Marcos Cardoso,263.769.246-46,1956-03-18
6345,Ana Gomes,993.180.447-55,2004-08-24
6346,Valentina Silva,505.159.490-51,1986-09-15
6347,Camila Almeida,562.706.105-75,1953-07-21
6348,Camila Dias,171.953.728-39,1958-08-15
6349,Joao Nascimento,408.988.479-90,1989-08-08
6350,Daniel Rodrigues,115.451.643-12,1971-11-21
6351,Thiago Mendes,288.367.009-93,1990-10-31
6352,Sofia Oliveira,886.828.757-99,1958-08-12
6353,Thiago Cardoso,872.307.557-00,1999-04-11
6354,Gabriel Oliveira,658.413.009-62,1968-05-01
6355,Julia Costa,064.620.667-25,1965-06-06
6356,William Mendes,361.941.028-37,1965-12-06
6357,Vinicius Ferreira,380.264.928-11,1954-11-23
6358,Patricia Souza,512.265.817-06,1991-07-08
6359,Larissa Rocha,257.836.368-43,1959-08-10
6360,Helena Almeida,053.252.600-73,1956-02-22
6361,Eduarda Cardoso,123.073.888-69,1955-06-28
6362,Daniela Pereira,212.436.521-52,1955-05-27
6363,Daniela Santos,745.205.009-66,2001-09-24
6364,Eduarda Souza,971.580.851-47,1957-06-22
6365,Daniela Gomes,041.225.011-05,1964-12-10
6366,Nicolas Araujo,508.267.039-50,1954-12-07
6367,Thiago Nascimento,380.799.149-23,1971-08-03
6368,Marcos Oliveira,910.451.414-96,1984-03-21
6369,Rafael Mendes,175.610.958-30,1970-05-26
6370,Valentina Cardoso,359.127.536-03,1966-08-02
6371,Valter Nascimento,990.523.347-49,1980-04-15
6372,Ana Rocha,178.356.364-84,1953-02-23
6373,Daniel Mendes,588.118.557-99,1992-08-17
6374,Eduarda Nascimento,077.576.627-53,1956-05-25
6375,Camila Ferreira,104.203.073-11,1981-04-21
6376,Patricia Cardoso,682.815.978-01,1951-11-25
6377,Ana Araujo,861.690.085-39,1972-01-06
6378,Sofia Araujo,550.748.144-05,1977-06-04
6379,Rafaela Rocha,446.926.626-46,1969-06-09
6380,Vinicius Ribeiro,198.138.334-40,2005-03-28
6381,Valter Souza,552.992.777-76,1990-09-20
6382,Eduarda Rodrigues,589.961.600-83,1957-04-04
6383,Natalia Oliveira,137.871.879-87,1991-05-19
6384,Paulo Rocha,293.090.772-04,1978-09-02
6385,Samuel Lima,009.062.509-94,1974-05-24
6386,Gabriel Ferreira,605.068.902-44,1982-08-08
6387,Daniel Costa,889.737.840-48,1989-08-25
6388,Ana Carvalho,190.241.617-11,1990-03-05
6389,Helena Rodrigues,797.309.053-39,1967-06-20
6390,Camila Oliveira,925.186.470-58,1973-03-07
6391,Paulo Ribeiro,502.313.744-96,1993-10-29
6392,Gabriela Ribeiro,650.371.500-51,1993-06-10
6393,Sofia Cardoso,838.268.201-42,1962-11-02
6394,Beatriz Pereira,152.620.767-26,2001-05-14
6395,Daniel Nascimento,571.869.725-60,1951-05-30
6396,Antonio Martins,973.658.794-08,2002-11-18
6397,Isabela Rodrigues,151.108.178-39,1967-10-05
6398,Eduarda Almeida,571.909.366-45,1959-11-29
6399,Lucas Martins,588.188.376-48,1951-12-06
6400,Gabriel Souza,712.550.758-13,1973-10-30
6401,Tiago Rodrigues,917.826.408-19,1967-09-11
6402,Taina Carvalho,434.028.855-14,2003-04-03
6403,Vinicius Souza,087.717.566-71,1972-02-28
6404,Andre Nascimento,903.818.683-54,1964-06-28
6405,Camila Silva,738.654.370-01,1959-06-21
6406,Gabriela Pereira,699.289.722-57,1973-07-10
6407,Tiago Araujo,619.348.776-03,1953-11-30
6408,Fernanda Almeida,109.862.453-05,1957-02-12
6409,Gabriela Gomes,718.265.227-78,1960-06-28
6410,Ana Ferreira,846.665.658-84,1972-06-12
6411,Beatriz Lima,291.037.497-11,1967-05-14
6412,Henrique Lima,567.121.249-99,1999-07-20
6413,Igor Martins,415.572.131-78,2005-09-22
6414,Eduarda Almeida,968.390.282-08,2001-09-29
6415,Igor Martins,722.071.135-23,1952-06-27
6416,Patricia Rodrigues,668.949.492-63,1994-05-16
6417,Samuel Rodrigues,677.447.324-56,1979-10-06
6418,Igor Oliveira,955.496.847-72,1964-02-12
6419,Joao Ferreira,041.281.771-30,1993-08-09
6420,Eduarda Ferreira,994.442.839-68,1983-12-17
6421,Natalia Costa,470.042.955-08,1974-04-29
6422,Lucas Oliveira,200.731.680-33,1998-02-27
6423,Beatriz Ferreira,824.239.977-87,1985-02-22
6424,Lucas Gomes,329.998.391-11,1999-06-07
6425,Lucas Gomes,990.588.419-01,1977-10-18
6426,Nicolas Costa,464.118.803-36,1974-03-10
6427,Felipe Araujo,006.169.384-70,1993-12-30
6428,Rafaela Mendes,106.370.721-89,2000-06-04
6429,Daniel Santos,822.616.340-48,1980-10-31
6430,Valentina Ferreira,498.590.175-06,1965-04-19
6431,Valter Santos,017.550.493-82,1979-03-18
6432,Igor Cardoso,141.277.015-79,1971-07-05
6433,Mariana Mendes,792.839.291-79,1963-10-29
6434,Rafaela Mendes,118.740.074-20,1970-01-18
6435,Isabela Ferreira,284.323.760-27,1969-02-08
6436,Andre Ferreira,729.442.472-12,1962-06-02
6437,Julia Martins,472.833.343-43,1964-03-24
6438,Eduardo Santos,322.275.617-18,1981-10-01
6439,Paulo Rodrigues,441.730.981-70,1996-04-02
6440,Eduarda Rocha,242.412.963-00,1981-12-16
6441,Vinicius Nascimento,522.883.209-23,1969-10-09
6442,Thiago Nascimento,498.009.293-47,1986-07-24
6443,Igor Araujo,851.455.494-82,1975-06-28
6444,Taina Lima,297.372.683-26,1964-09-04
6445,Patricia Rodrigues,483.375.573-46,1994-03-11
6446,Rafael Gomes,139.311.653-10,1960-03-19
6447,Isabela Martins,456.967.570-06,1981-10-15
6448,Lucas Oliveira,715.918.333-96,1970-11-04
6449,Daniel Ferreira,255.013.584-92,1960-02-28
6450,Camila Almeida,411.373.202-73,1961-11-14
6451,Beatriz Souza,738.226.068-20,1985-05-03
6452,Samuel Martins,630.709.964-00,1998-10-19
6453,Rafael Martins,399.875.681-73,2001-09-09
6454,Julia Dias,959.110.298-47,1977-05-19
6455,Thiago Rodrigues,835.093.275-94,1967-01-30
6456,Helena Dias,694.863.201-79,1971-10-04
6457,Ana Ferreira,533.239.691-03,1958-10-08
6458,Samuel Ferreira,641.151.644-84,1987-01-15
6459,Bruno Dias,239.659.782-50,1988-10-21
6460,Thiago Silva,080.047.032-08,1964-05-18
6461,Gabriel Santos,088.843.913-00,1973-12-27
6462,William Araujo,310.538.889-37,1969-11-20
6463,Fernanda Costa,904.428.236-06,1961-03-05
6464,Henrique Santos,109.728.938-90,1965-05-19
6465,Daniela Pereira,101.510.609-91,1993-12-22
6466,Nicolas Lima,970.420.977-00,1986-05-15
6467,Henrique Almeida,100.945.319-00,1974-12-25
6468,Helena Pereira,365.327.147-98,1966-01-10
6469,Carlos Silva,762.332.750-08,2002-03-05
6470,Taina Lima,483.174.936-28,1950-10-25
6471,Daniela Ferreira,168.763.073-95,1991-09-24
6472,Julia Pereira,575.848.363-05,2003-10-21
6473,Gabriela Araujo,013.898.810-24,1962-11-19
6474,Tiago Gomes,788.223.358-72,1988-07-09
6475,Helena Rodrigues,422.342.264-22,1956-10-30
6476,Antonio Oliveira,442.305.665-81,1989-04-16
6477,Igor Martins,061.251.743-87,1977-01-28
6478,Larissa Oliveira,084.398.893-21,2000-11-16
6479,Antonio Almeida,169.646.680-63,1963-06-17
6480,Felipe Cardoso,748.511.766-19,1960-04-10
6481,Isabela Carvalho,768.597.664-17,1988-05-20
6482,Tiago Costa,659.028.277-36,1976-09-06
6483,Gabriel Dias,482.545.763-00,1976-06-01
6484,Valentina Araujo,820.013.768-63,1972-03-04
6485,Daniel Costa,813.724.204-01,1987-08-22
6486,Daniel Almeida,521.705.726-27,1994-05-29
6487,Joao Rocha,830.020.304-49,1967-02-15
6488,Mariana Santos,779.001.215-01,1967-07-03
6489,Larissa Almeida,884.099.555-20,1950-11-18
6490,Henrique Costa,718.106.319-71,1997-12-14
6491,Daniel Lima,480.667.646-26,1962-07-30
6492,William Santos,651.651.265-52,1972-06-08
6493,Lucas Rodrigues,704.214.152-07,1971-02-19
6494,Samuel Araujo,787.000.985-74,1974-04-28
6495,Carlos Santos,693.576.338-04,1960-07-05
6496,Larissa Rodrigues,543.360.620-13,1968-07-13
6497,Marcos Martins,020.707.373-22,1985-06-29
6498,Gabriel Cardoso,031.697.607-50,2004-05-22
6499,Ana Carvalho,660.055.931-45,2002-05-21
6500,Thiago Carvalho,934.499.161-81,1982-08-28
